order,family,scientific name,actividad,horario,IUCN_red_list_category,Confidence
Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Buteo jamaicensis,diurna,900 - 1700,LC,0.6468666666666666
Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Buteo plagiatus,diurna,700 - 1700,LC,0.7404575757575758
Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Buteo platypterus,diurna,600 - 1500,LC,0.6528181818181819
Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Buteo swainsoni,diurna,800 - 800,LC,0.6145
Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Buteogallus anthracinus,diurna,900 - 900,LC,0.7374
Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Elanus leucurus,diurna,600 - 1700,LC,0.6376857142857143
Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Ictinia mississippiensis,diurna,800 - 800,LC,0.5662
Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Rupornis magnirostris,diurna,550 - 1720,LC,0.6298347826086956
Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Spizaetus tyrannus,diurna,600 - 1720,LC,0.6341933333333334
Accipitriformes,Pandionidae (Osprey),Pandion haliaetus,diurna,600 - 1800,EN,0.6664708333333333
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Cairina moschata,diurna,1800 - 1800,LC,0.6294
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Dendrocygna autumnalis,diurna,600 - 1800,LC,0.7815472222222222
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Dendrocygna autumnalis,nocturna,400 - 2200,LC,0.8193710526315789
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Dendrocygna bicolor,diurna,900 - 1700,LC,0.7279500000000001
Apodiformes,Apodidae (Swifts),Chaetura vauxi,diurna,800 - 1800,LC,0.675412
Apodiformes,Apodidae (Swifts),Streptoprocne zonaris,diurna,800 - 1500,LC,0.7627967741935484
Apodiformes,Trochilidae (Hummingbirds),Amazilia rutila,diurna,550 - 1800,LC,0.6744500000000001
